"TU_RLTY_KID";"Полный адрес";"Нас. пункт";"Тип нас.пункта";"Тип улицы";"Улица";"№ дома";"Строение";"Квартира/Помещение";"ФИАС дома"
"5791930";"Нововятский р-н, ул. Героя Рослякова, д. 6, кв. 18";"Нововятский";" ";"ул.";"Героя Рослякова";"6";"";"18";"37c5b19c-5e8c-4c61-b99e-790c525ae5d5"
"5791932";"Нововятский р-н, ул. Героя Рослякова, д. 6, кв. 19";"Нововятский";" ";"ул.";"Героя Рослякова";"6";"";"19";"37c5b19c-5e8c-4c61-b99e-790c525ae5d5"
"5791904";"Нововятский р-н, ул. Героя Рослякова, д. 6, кв. 2";"Нововятский";" ";"ул.";"Героя Рослякова";"6";"";"2";"37c5b19c-5e8c-4c61-b99e-790c525ae5d5"
"5791934";"Нововятский р-н, ул. Героя Рослякова, д. 6, кв. 20";"Нововятский";" ";"ул.";"Героя Рослякова";"6";"";"20";"37c5b19c-5e8c-4c61-b99e-790c525ae5d5"
"5791936";"Нововятский р-н, ул. Героя Рослякова, д. 6, кв. 21";"Нововятский";" ";"ул.";"Героя Рослякова";"6";"";"21";"37c5b19c-5e8c-4c61-b99e-790c525ae5d5"
"5791938";"Нововятский р-н, ул. Героя Рослякова, д. 6, кв. 22";"Нововятский";" ";"ул.";"Героя Рослякова";"6";"";"22";"37c5b19c-5e8c-4c61-b99e-790c525ae5d5"
"5791940";"Нововятский р-н, ул. Героя Рослякова, д. 6, кв. 23";"Нововятский";" ";"ул.";"Героя Рослякова";"6";"";"23";"37c5b19c-5e8c-4c61-b99e-790c525ae5d5"
"5791942";"Нововятский р-н, ул. Героя Рослякова, д. 6, кв. 24";"Нововятский";" ";"ул.";"Героя Рослякова";"6";"";"24";"37c5b19c-5e8c-4c61-b99e-790c525ae5d5"
"5791944";"Нововятский р-н, ул. Героя Рослякова, д. 6, кв. 25";"Нововятский";" ";"ул.";"Героя Рослякова";"6";"";"25";"37c5b19c-5e8c-4c61-b99e-790c525ae5d5"
"5791946";"Нововятский р-н, ул. Героя Рослякова, д. 6, кв. 26";"Нововятский";" ";"ул.";"Героя Рослякова";"6";"";"26";"37c5b19c-5e8c-4c61-b99e-790c525ae5d5"
"5791948";"Нововятский р-н, ул. Героя Рослякова, д. 6, кв. 27";"Нововятский";" ";"ул.";"Героя Рослякова";"6";"";"27";"37c5b19c-5e8c-4c61-b99e-790c525ae5d5"
"5791950";"Нововятский р-н, ул. Героя Рослякова, д. 6, кв. 28";"Нововятский";" ";"ул.";"Героя Рослякова";"6";"";"28";"37c5b19c-5e8c-4c61-b99e-790c525ae5d5"
"5791952";"Нововятский р-н, ул. Героя Рослякова, д. 6, кв. 29";"Нововятский";" ";"ул.";"Героя Рослякова";"6";"";"29";"37c5b19c-5e8c-4c61-b99e-790c525ae5d5"
"5791906";"Нововятский р-н, ул. Героя Рослякова, д. 6, кв. 3";"Нововятский";" ";"ул.";"Героя Рослякова";"6";"";"3";"37c5b19c-5e8c-4c61-b99e-790c525ae5d5"
"5791954";"Нововятский р-н, ул. Героя Рослякова, д. 6, кв. 30";"Нововятский";" ";"ул.";"Героя Рослякова";"6";"";"30";"37c5b19c-5e8c-4c61-b99e-790c525ae5d5"
"5791956";"Нововятский р-н, ул. Героя Рослякова, д. 6, кв. 31";"Нововятский";" ";"ул.";"Героя Рослякова";"6";"";"31";"37c5b19c-5e8c-4c61-b99e-790c525ae5d5"
