TU_RLTY_KID;Error;Error_text;KNum
5730315;0;;43:40:000459:5315
5730317;0;;43:40:000459:5347
5730319;0;;43:40:000459:5348
5730321;0;;43:40:000459:5349
5729719;0;;43:40:000459:5868
5730323;0;;43:40:000459:5350
5730325;0;;43:40:000459:5330
5730327;0;;43:40:000459:5327
5730329;0;;43:40:000459:5271
5730331;0;;43:40:000459:5276
5730333;0;;43:40:000459:5334
5730387;0;;43:40:000459:5279
5730389;0;;43:40:000459:5277
5730391;0;;43:40:000459:5354
5730393;0;;43:40:000459:5332
5729721;0;;43:40:000459:5417
5730395;0;;43:40:000459:5336
5730397;0;;43:40:000459:5337
5730399;0;;43:40:000459:5301
5730401;0;;43:40:000459:5303
5730403;0;;43:40:000459:5267
5730405;0;;43:40:000459:5302
5730407;0;;43:40:000459:5335
5730409;1;Parse error;
5730411;1;Parse error;
5729295;0;;43:40:000459:5309
5729723;0;;43:40:000459:5818
5729297;0;;43:40:000459:5310
5729299;0;;43:40:000459:5313
5729301;0;;43:40:000459:5344
5729303;0;;43:40:000459:5346
5729305;0;;43:40:000459:5345
5729307;0;;43:40:000459:5317
5729309;0;;43:40:000459:5324
5729311;0;;43:40:000459:5326
5729313;0;;43:40:000459:5351
5729315;0;;43:40:000459:5352
5729725;0;;43:40:000459:5798
5729317;0;;43:40:000459:5353
5729319;0;;43:40:000459:5318
5729347;0;;43:40:000459:5319
5729349;0;;43:40:000459:5320
5729351;0;;43:40:000459:5268
5729353;0;;43:40:000459:5321
5729727;0;;43:40:000459:5865
5729365;0;;43:40:000459:5599
5729729;0;;43:40:000459:5845
5729731;0;;43:40:000459:5811
5729733;0;;43:40:000459:5593
5729735;0;;43:40:000459:5802
5729789;0;;43:40:000459:5816
5729791;0;;43:40:000459:5867
5729793;0;;43:40:000459:5392
5729795;0;;43:40:000459:5404
5729797;0;;43:40:000459:5824
5729799;0;;43:40:000459:5412
5729367;0;;43:40:000459:5589
5729801;0;;43:40:000459:5372
5729803;0;;43:40:000459:5420
5729805;0;;43:40:000459:5869
5729807;0;;43:40:000459:5911
5729809;0;;43:40:000459:5586
5729811;0;;43:40:000459:5822
5729813;0;;43:40:000459:5859
5729867;0;;43:40:000459:5360
5729869;0;;43:40:000459:5387
5729871;0;;43:40:000459:5601
5729369;0;;43:40:000459:5363
5729873;0;;43:40:000459:5846
5729875;0;;43:40:000459:5394
5729877;0;;43:40:000459:5416
5729879;0;;43:40:000459:5817
5729881;0;;43:40:000459:5887
5729883;0;;43:40:000459:5419
5729885;0;;43:40:000459:5415
5729887;0;;43:40:000459:5375
5729889;0;;43:40:000459:5587
5729891;0;;43:40:000459:5804
5729419;0;;43:40:000459:5864
5729945;0;;43:40:000459:5809
5729947;0;;43:40:000459:5388
5729949;0;;43:40:000459:5831
5729951;0;;43:40:000459:5796
5729953;0;;43:40:000459:5878
5729955;0;;43:40:000459:5885
5729957;0;;43:40:000459:5848
5729959;0;;43:40:000459:5406
5729961;0;;43:40:000459:5808
5729963;0;;43:40:000459:5381
5816359;1;Объект по этому адресу не найден. Попробуйте сделать расширенный поиск по адресу.;
5746417;1;Объект по этому адресу не найден. Попробуйте сделать расширенный поиск по адресу.;
4328066;0;;43:40:000459:2491
4328078;0;;43:40:000459:3009
4886435;0;;43:40:000459:3009
4886537;0;;43:40:000459:3030
4886467;0;;43:40:000459:3065
4886641;0;;43:40:000459:3293
4886673;0;;43:40:000459:3300
4886675;0;;43:40:000459:3316
4886677;0;;43:40:000459:3301
4886679;0;;43:40:000459:3333
4886713;0;;43:40:000459:3318
4886715;0;;43:40:000459:3329
4886717;0;;43:40:000459:3326
4886899;0;;43:40:000459:3321
4886901;0;;43:40:000459:3297
4886469;0;;43:40:000459:3061
4886903;0;;43:40:000459:3317
4886617;0;;43:40:000459:3292
4886619;0;;43:40:000459:3726
4886621;0;;43:40:000459:3314
4886937;0;;43:40:000459:3320
4886939;0;;43:40:000459:3323
4886959;0;;43:40:000459:3334
4886961;0;;43:40:000459:3310
4886587;0;;43:40:000459:3305
4886589;1;Parse error;
4886591;1;Parse error;
4886471;0;;43:40:000459:3069
4886593;0;;43:40:000459:3031
4886623;0;;43:40:000459:3036
4886625;0;;43:40:000459:3015
4886627;0;;43:40:000459:3013
4886629;0;;43:40:000459:3029
4886631;0;;43:40:000459:3049
4886643;0;;43:40:000459:3022
4886645;0;;43:40:000459:3020
4886647;0;;43:40:000459:3027
4886649;0;;43:40:000459:3034
4886479;0;;43:40:000459:3033
4886651;0;;43:40:000459:3032
4886681;0;;43:40:000459:3040
4886683;0;;43:40:000459:3037
4886685;0;;43:40:000459:3026
4886719;0;;43:40:000459:3016
4886721;0;;43:40:000459:3102
4886723;0;;43:40:000459:3415
4886725;0;;43:40:000459:3097
4886727;0;;43:40:000459:3122
4886729;0;;43:40:000459:3104
4886481;0;;43:40:000459:3011
4886767;0;;43:40:000459:3042
4886769;0;;43:40:000459:3077
4886771;0;;43:40:000459:3068
4886773;0;;43:40:000459:3054
4886801;0;;43:40:000459:3271
4886803;0;;43:40:000459:3278
4886805;0;;43:40:000459:3251
4886807;0;;43:40:000459:3327
4886809;0;;43:40:000459:3259
4886595;0;;43:40:000459:3241
4886483;0;;43:40:000459:3010
4886597;0;;43:40:000459:3272
4886633;0;;43:40:000459:3247
4886635;0;;43:40:000459:3264
4886653;0;;43:40:000459:3328
4886655;0;;43:40:000459:3313
4886687;0;;43:40:000459:3330
4886689;0;;43:40:000459:3267
4886691;0;;43:40:000459:3307
4886731;0;;43:40:000459:3273
4886733;0;;43:40:000459:3332
4886495;0;;43:40:000459:3024
4886735;0;;43:40:000459:3319
4886775;0;;43:40:000459:3303
4886777;0;;43:40:000459:3283
4886779;0;;43:40:000459:3269
4886781;0;;43:40:000459:3331
4886811;0;;43:40:000459:3268
4886813;0;;43:40:000459:3325
4886815;0;;43:40:000459:3231
4886839;0;;43:40:000459:3091
4886841;0;;43:40:000459:3039
4886497;0;;43:40:000459:3071
4886905;0;;43:40:000459:3130
4886907;0;;43:40:000459:3138
4886909;0;;43:40:000459:3012
4886599;1;Parse error;
4886601;1;Parse error;
4886783;0;;43:40:000459:3018
4886785;0;;43:40:000459:3086
4886787;0;;43:40:000459:3073
4886879;0;;43:40:000459:3064
4886881;0;;43:40:000459:3075
4886503;0;;43:40:000459:3066
4886963;0;;43:40:000459:3081
4886965;0;;43:40:000459:3063
4886967;0;;43:40:000459:3059
4886693;0;;43:40:000459:3089
4886695;0;;43:40:000459:3094
4886737;0;;43:40:000459:3098
4886739;0;;43:40:000459:3113
4886741;0;;43:40:000459:3093
4886743;0;;43:40:000459:3109
4886745;0;;43:40:000459:3125
4886505;0;;43:40:000459:3148
4886817;0;;43:40:000459:3194
4886819;0;;43:40:000459:3227
4886821;0;;43:40:000459:3260
4886823;0;;43:40:000459:3209
4886843;0;;43:40:000459:3225
4886845;0;;43:40:000459:3146
4886847;0;;43:40:000459:3221
4886849;1;Parse error;
4886857;1;Parse error;
4886859;0;;43:40:000459:3120
4886539;0;;43:40:000459:3014
4886507;0;;43:40:000459:3100
4886895;0;;43:40:000459:3220
4886897;0;;43:40:000459:3155
4886657;0;;43:40:000459:3236
4886659;0;;43:40:000459:3179
4886661;0;;43:40:000459:3172
4886861;0;;43:40:000459:3296
4886863;0;;43:40:000459:3285
4886919;0;;43:40:000459:3187
4886921;0;;43:40:000459:3152
4886663;0;;43:40:000459:3218
