TU_RLTY_KID;Error;Error_text;KNum
4349927;1;Объект по этому адресу не найден. Попробуйте сделать расширенный поиск по адресу.;
4534387;1;Объект по этому адресу не найден. Попробуйте сделать расширенный поиск по адресу.;
4332836;0;;43:40:000637:329
4528179;1;Объект по этому адресу не найден. Попробуйте сделать расширенный поиск по адресу.;
4645359;1;Объект по этому адресу не найден. Попробуйте сделать расширенный поиск по адресу.;
4843849;0;;43:40:000766:11
4841923;0;;43:40:000766:14
4838113;1;Объект по этому адресу не найден. Попробуйте сделать расширенный поиск по адресу.;
4366955;1;Объект по этому адресу не найден. Попробуйте сделать расширенный поиск по адресу.;
4584747;0;;43:40:000215:175
4688035;0;;43:40:000215:176
4602709;0;;43:40:000215:195
4723251;0;;43:40:000215:198
4669499;0;;43:40:000216:48
4752945;0;;43:40:000216:294
4693419;1;Объект по этому адресу не найден. Попробуйте сделать расширенный поиск по адресу.;
4687411;1;Объект по этому адресу не найден. Попробуйте сделать расширенный поиск по адресу.;
4633903;1;Объект по этому адресу не найден. Попробуйте сделать расширенный поиск по адресу.;
4541079;1;Объект по этому адресу не найден. Попробуйте сделать расширенный поиск по адресу.;
4687421;1;Объект по этому адресу не найден. Попробуйте сделать расширенный поиск по адресу.;
4571999;1;Объект по этому адресу не найден. Попробуйте сделать расширенный поиск по адресу.;
4445551;1;Объект по этому адресу не найден. Попробуйте сделать расширенный поиск по адресу.;
4747799;0;;43:40:000216:262
4615023;0;;43:40:000215:183
4407635;0;;43:40:000884:188
4549281;0;;43:40:000884:189
4707313;1;Объект по этому адресу не найден. Попробуйте сделать расширенный поиск по адресу.;
4447723;1;Объект по этому адресу не найден. Попробуйте сделать расширенный поиск по адресу.;
4689367;1;Объект по этому адресу не найден. Попробуйте сделать расширенный поиск по адресу.;
4598589;1;Объект по этому адресу не найден. Попробуйте сделать расширенный поиск по адресу.;
4671483;1;Объект по этому адресу не найден. Попробуйте сделать расширенный поиск по адресу.;
